id,name_en,name_ar,slug,lat,lon,parent_id,gov_en,gov_ar
EG2115,Atfeh,مركز أطفيح,atfeh-eg2115,29.343,31.25,EG21,Giza,الجيزة
EG2304,Atsa,مركز أطسا,atsa-eg2304,29.208,30.767,EG23,Fayoum,الفيوم
EG2116,Auseem,مركز أوسيم,auseem-eg2116,30.132,31.142,EG21,Giza,الجيزة
EG1319,Awlad Saqr,مركز أولاد صقر,awlad-saqr-eg1319,30.969,31.777,EG13,Sharkia,الشرقية
EG2112,Ayat,مركز العياط,ayat-eg2112,29.564,31.25,EG21,Giza,الجيزة
EG0116,Bab Al-Shariyya,قسم باب الشعرية,bab-al-shariyya-eg0116,30.059,31.258,EG01,Cairo,القاهرة
EG0204,Bab Sharqi,قسم باب شرقى,bab-sharqi-eg0204,31.205,29.921,EG02,Alexandria,الاسكندرية
EG0141,Badr,قسم بدر,badr-eg0141,30.136,31.706,EG01,Cairo,القاهرة
EG1818,Badr,مركز بدر,badr-eg1818,30.547,30.679,EG18,Behera,البحيرة
EG2110,Badrashain,مركز البدرشين,badrashain-eg2110,29.824,31.258,EG21,Giza,الجيزة
EG2114,Bahariya Oasis,قسم الواحاتالبحرية,bahariya-oasis-eg2114,28.452,28.836,EG21,Giza,الجيزة
EG1401,Banha,قسم بنها,banha-eg1401,30.466,31.19,EG14,Kalyoubia,القليوبية
EG1402,Banha,مركز بنها,banha-eg1402,30.443,31.248,EG14,Kalyoubia,القليوبية
EG2201,Bani Swayf,قسم بنى سويف,bani-swayf-eg2201,29.077,31.097,EG22,Beni Suef,بنى سويف
EG2202,Bani Swayf,مركز بنى سويف,bani-swayf-eg2202,29.098,31.042,EG22,Beni Suef,بنى سويف
EG2203,Bani Swayf City,قسم مدينة بنى سويف الجديدة,bani-swayf-city-eg2203,28.982,31.159,EG22,Beni Suef,بنى سويف
EG1218,Bany Abeed,مركز بنى عبيد,bany-abeed-eg1218,31.024,31.648,EG12,Dakahlia,الدقهلية
EG0135,Basatin,قسم البساتين,basatin-eg0135,29.98,31.293,EG01,Cairo,القاهرة
EG1608,Basyun,مركز بسيون,basyun-eg1608,30.959,30.827,EG16,Gharbia,الغربية
EG2207,Biba,مركز ببا,biba-eg2207,28.951,30.967,EG22,Beni Suef,بنى سويف
EG1308,Bilbis,مركز بلبيس,bilbis-eg1308,30.408,31.531,EG13,Sharkia,الشرقية
EG1208,Bilqas,مركز بلقاس,bilqas-eg1208,31.344,31.379,EG12,Dakahlia,الدقهلية
